state,county,tract,block group,NAME,Unemployed,Income,WhiteRace,BlackRace,IndianAlaskanRace,AsianRace,Population,MaleGender,FemaleGender,HighSchoolEducation,College_Less_1yrEducation,College_More_1YREducation,AssociateDegreeEducation,BachelorDegreeEducation,MasterDegreeEducation,ProfessionalDegreeEducation,DoctorateDegreeEducation
42,045,410302,2,"Block Group 2, Census Tract 4103.02, Delaware County, Pennsylvania",88,1180,4447,333,0,936,5762,2527,3235,807,65,419,151,1599,877,229,315
42,045,406803,2,"Block Group 2, Census Tract 4068.03, Delaware County, Pennsylvania",24,530,1343,49,0,201,1653,734,919,471,72,136,136,203,14,0,0
42,045,406803,4,"Block Group 4, Census Tract 4068.03, Delaware County, Pennsylvania",27,819,1511,243,0,314,2087,859,1228,447,55,83,345,516,174,0,0
42,045,406803,3,"Block Group 3, Census Tract 4068.03, Delaware County, Pennsylvania",75,600,2234,83,0,0,2384,1080,1304,775,158,81,160,326,251,40,21
42,045,406902,3,"Block Group 3, Census Tract 4069.02, Delaware County, Pennsylvania",86,346,1109,304,0,0,1426,690,736,373,14,176,97,114,99,31,0
42,045,400402,2,"Block Group 2, Census Tract 4004.02, Delaware County, Pennsylvania",33,491,294,1259,0,247,1800,916,884,514,84,123,114,166,28,0,0
42,045,400402,4,"Block Group 4, Census Tract 4004.02, Delaware County, Pennsylvania",0,227,53,543,59,182,837,278,559,108,26,77,11,56,47,0,0
42,045,400801,1,"Block Group 1, Census Tract 4008.01, Delaware County, Pennsylvania",118,952,177,1870,0,334,2425,1090,1335,532,104,174,91,403,87,0,13
42,045,401104,2,"Block Group 2, Census Tract 4011.04, Delaware County, Pennsylvania",48,359,847,118,0,19,1034,517,517,181,42,131,42,180,83,16,24
42,045,401104,3,"Block Group 3, Census Tract 4011.04, Delaware County, Pennsylvania",6,177,632,58,0,0,714,283,431,141,34,66,92,124,71,0,0
42,045,401104,1,"Block Group 1, Census Tract 4011.04, Delaware County, Pennsylvania",53,506,1308,165,0,34,1619,774,845,343,79,104,84,166,53,43,0
42,045,402600,1,"Block Group 1, Census Tract 4026, Delaware County, Pennsylvania",97,551,655,1688,0,0,2352,1082,1270,509,51,219,115,190,17,0,0
42,045,402600,2,"Block Group 2, Census Tract 4026, Delaware County, Pennsylvania",0,277,416,1068,0,11,1521,563,958,420,48,156,61,60,101,12,0
42,045,409000,2,"Block Group 2, Census Tract 4090, Delaware County, Pennsylvania",11,244,750,20,0,2,780,385,395,67,20,77,18,149,91,14,10
42,045,409902,3,"Block Group 3, Census Tract 4099.02, Delaware County, Pennsylvania",44,580,1364,59,0,378,1903,757,1146,170,45,98,72,325,298,133,129
42,045,409902,1,"Block Group 1, Census Tract 4099.02, Delaware County, Pennsylvania",71,623,1888,16,0,155,2237,1161,1076,334,75,139,88,335,323,102,49
42,045,406401,1,"Block Group 1, Census Tract 4064.01, Delaware County, Pennsylvania",114,434,280,1383,33,0,1717,644,1073,344,49,175,74,109,77,5,0
42,045,409904,2,"Block Group 2, Census Tract 4099.04, Delaware County, Pennsylvania",97,875,2882,25,0,0,2910,1477,1433,249,46,200,66,901,415,108,90
42,045,409904,1,"Block Group 1, Census Tract 4099.04, Delaware County, Pennsylvania",25,270,928,0,0,0,939,507,432,53,9,0,35,247,195,69,34
42,045,407101,2,"Block Group 2, Census Tract 4071.01, Delaware County, Pennsylvania",24,729,2421,135,0,109,2811,1329,1482,593,139,164,184,462,261,114,82
42,045,404400,1,"Block Group 1, Census Tract 4044, Delaware County, Pennsylvania",46,238,232,497,0,0,738,297,441,141,9,125,19,75,43,0,0
42,045,404400,2,"Block Group 2, Census Tract 4044, Delaware County, Pennsylvania",94,228,345,464,0,10,830,517,313,198,26,130,56,51,37,0,5
42,045,404500,3,"Block Group 3, Census Tract 4045, Delaware County, Pennsylvania",41,174,140,560,0,0,740,332,408,208,7,44,4,44,47,0,0
42,045,404500,2,"Block Group 2, Census Tract 4045, Delaware County, Pennsylvania",59,293,100,809,0,56,1310,612,698,260,36,78,15,17,0,0,0
42,045,404500,1,"Block Group 1, Census Tract 4045, Delaware County, Pennsylvania",189,310,306,1290,0,2,1598,853,745,625,31,80,44,34,37,0,0
